url,title,age,views
https://www.youtube.com/watch?v=zE3FLbpu9-Q,"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",5 years ago,24M views
,,,
https://www.youtube.com/watch?v=Izmibu7dxcs,Destroying My Friend's Car And Surprising Him With A New One,5 years ago,38M views
,,,
https://www.youtube.com/watch?v=2Pvt8awds44,Walking Up To Random People With 100 StormTroopers,5 years ago,19M views
,,,
https://www.youtube.com/watch?v=n9BbAfbsyj0,"I Donated $10,000 If They Said This Word (Twitch Streamers)",5 years ago,19M views
,,,
https://www.youtube.com/watch?v=WZ2rYlVxt4g,"Giving My 4,000,000th Subscriber 4,000,000 Cookies",5 years ago,13M views
,,,
https://www.youtube.com/watch?v=CWK6an4mYL0,"I Tipped Waitresses $20,000",5 years ago,14M views
,,,
https://www.youtube.com/watch?v=VwWV4JelEzY,Walking Into Random Stores With 100 Dinosaurs,5 years ago,32M views
,,,
https://www.youtube.com/watch?v=koRKIlRQj4g,I Built A Mansion Using Only Cardboard Boxes,5 years ago,25M views
,,,
https://www.youtube.com/watch?v=XKFKPQHdWRI,Breaking Glass Using Only Megaphones,5 years ago,53M views
,,,
https://www.youtube.com/watch?v=yuGEB4ZZdUQ,Tying My Shoes In Every State (World Record),5 years ago,17M views
,,,
https://www.youtube.com/watch?v=sg_XFT4K3N4,"I Dropped $20,000 From A Drone",5 years ago,7.7M views
,,,
https://www.youtube.com/watch?v=szt8xabJoSo,"Donating $10,000 To Fortnite Streamers If They Win",5 years ago,11M views
,,,
https://www.youtube.com/watch?v=Fbl3E_XCQfA,Trying To Fly Using Only Leaf Blowers,5 years ago,18M views
,,,
https://www.youtube.com/watch?v=Pe3pGsCeYXg,"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",5 years ago,8.6M views
,,,
https://www.youtube.com/watch?v=yzGmnjDFuZE,"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",5 years ago,36M views
,,,
